               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,             0.10042,             0.46965,                   0,             0.13135,            0.062035,            0.054236,            0.015754,             0.09839,             0.82241,                   0,           0.0095686,           0.0095686,           0.0095686
                 124,            0.097129,             0.43656,                   0,             0.13135,            0.062035,            0.054236,            0.015754,             0.09839,             0.82241,                   0,           0.0095651,           0.0095651,           0.0095651
                 125,            0.098353,             0.42975,                   0,             0.24082,             0.10298,            0.096711,            0.025255,            0.096176,             0.83164,                   0,           0.0095616,           0.0095616,           0.0095616
                 126,              0.1003,             0.38327,                   0,             0.24082,             0.10298,            0.096711,            0.025255,            0.096176,             0.83164,                   0,            0.009558,            0.009558,            0.009558
                 127,            0.095075,             0.32818,                   0,             0.40413,             0.16005,             0.20762,            0.062066,            0.095295,             0.88183,                   0,           0.0095545,           0.0095545,           0.0095545
                 128,             0.09484,             0.43597,                   0,             0.40413,             0.16005,             0.20762,            0.062066,            0.095295,             0.88183,                   0,            0.009551,            0.009551,            0.009551
                 129,            0.099079,             0.35895,                   0,             0.39984,             0.17937,             0.21901,            0.069919,            0.092583,             0.86409,                   0,           0.0095474,           0.0095474,           0.0095474
                 130,            0.094648,             0.45415,                   0,             0.39984,             0.17937,             0.21901,            0.069919,            0.092583,             0.86409,                   0,           0.0095439,           0.0095439,           0.0095439
                 131,            0.096391,             0.50308,                   0,             0.31907,             0.24442,             0.19795,            0.066931,            0.088446,             0.82792,                   0,           0.0095404,           0.0095404,           0.0095404
                 132,            0.093561,             0.48603,                   0,             0.31907,             0.24442,             0.19795,            0.066931,            0.088446,             0.82792,                   0,           0.0095368,           0.0095368,           0.0095368
                 133,            0.099705,             0.41064,                   0,              0.2833,             0.23821,             0.19202,            0.064083,            0.090231,             0.85218,                   0,           0.0095333,           0.0095333,           0.0095333
                 134,            0.092105,             0.46449,                   0,              0.2833,             0.23821,             0.19202,            0.064083,            0.090231,             0.85218,                   0,           0.0095298,           0.0095298,           0.0095298
                 135,            0.095658,               0.504,                   0,             0.27623,             0.13524,             0.13984,            0.043645,            0.093723,              1.0008,                   0,           0.0095262,           0.0095262,           0.0095262
                 136,              0.1011,             0.40188,                   0,             0.27623,             0.13524,             0.13984,            0.043645,            0.093723,              1.0008,                   0,           0.0095227,           0.0095227,           0.0095227
                 137,            0.093877,             0.40414,                   0,             0.41862,             0.16625,             0.20409,            0.061297,            0.093455,             0.85778,                   0,           0.0095191,           0.0095191,           0.0095191
                 138,            0.093871,             0.45719,                   0,             0.41862,             0.16625,             0.20409,            0.061297,            0.093455,             0.85778,                   0,           0.0095156,           0.0095156,           0.0095156
                 139,             0.08956,             0.40685,                   0,             0.51441,             0.19727,             0.25616,            0.088962,            0.091298,             0.83601,                   0,           0.0095121,           0.0095121,           0.0095121
                 140,            0.092326,             0.40765,                   0,             0.51441,             0.19727,             0.25616,            0.088962,            0.091298,             0.83601,                   0,           0.0095085,           0.0095085,           0.0095085
                 141,             0.09437,             0.48231,                   0,             0.43211,             0.18734,             0.21934,            0.073666,            0.089812,             0.83717,                   0,            0.009505,            0.009505,            0.009505
                 142,            0.091605,             0.45325,                   0,             0.40057,              0.2928,             0.26474,             0.08914,            0.089812,             0.83717,                   0,           0.0095015,           0.0095015,           0.0095015
                 143,            0.097094,             0.51112,                   0,             0.39613,             0.16749,             0.19709,            0.056169,            0.092832,             0.84631,                   0,           0.0094979,           0.0094979,           0.0094979
                 144,            0.089277,             0.44265,                   0,              0.3472,             0.27543,              0.2414,            0.069463,            0.092832,             0.84631,                   0,           0.0094944,           0.0094944,           0.0094944
                 145,            0.098264,             0.49219,                   0,             0.37238,             0.25806,             0.23591,            0.070004,            0.091916,             0.84555,                   0,           0.0094909,           0.0094909,           0.0094909
                 146,            0.095757,             0.39922,                   0,             0.37238,             0.25806,             0.23591,            0.070004,            0.091916,             0.84555,                   0,           0.0094873,           0.0094873,           0.0094873
                 147,            0.091337,             0.41882,                   0,             0.42607,             0.28288,             0.27412,            0.090678,            0.090751,             0.81187,                   0,           0.0094838,           0.0094838,           0.0094838
                 148,            0.095235,             0.44176,                   0,             0.42607,             0.28288,             0.27412,            0.090678,            0.090751,             0.81187,                   0,           0.0094803,           0.0094803,           0.0094803
                 149,            0.091286,             0.46245,                   0,             0.44152,              0.2804,             0.27497,            0.084024,            0.091117,              0.8363,                   0,           0.0094767,           0.0094767,           0.0094767
                 150,            0.092504,             0.49546,                   0,             0.44152,              0.2804,             0.27497,            0.084024,            0.091117,              0.8363,                   0,           0.0094732,           0.0094732,           0.0094732
                 151,            0.090421,             0.44186,                   0,             0.30233,             0.12531,             0.15052,            0.048593,              0.0946,              1.0264,                   0,           0.0094696,           0.0094696,           0.0094696
                 152,            0.093581,             0.51318,                   0,             0.30233,             0.12531,             0.15052,            0.048593,              0.0946,              1.0264,                   0,           0.0094661,           0.0094661,           0.0094661
                 153,            0.093735,             0.43319,                   0,             0.46798,             0.29529,             0.30216,             0.09588,             0.08981,             0.84017,                   0,           0.0094626,           0.0094626,           0.0094626
                 154,            0.089387,             0.44831,                   0,             0.46798,             0.29529,             0.30216,             0.09588,             0.08981,             0.84017,                   0,            0.009459,            0.009459,            0.009459
                 155,            0.097222,             0.40588,                   0,             0.46324,             0.28908,             0.29449,            0.092261,            0.089148,             0.88155,                   0,           0.0094555,           0.0094555,           0.0094555
                 156,            0.091796,             0.43364,                   0,             0.46324,             0.28908,             0.29449,            0.092261,            0.089148,             0.88155,                   0,            0.009452,            0.009452,            0.009452
                 157,            0.094467,             0.53887,                   0,             0.34723,             0.27323,             0.22554,             0.06527,            0.092611,             0.82248,                   0,           0.0094484,           0.0094484,           0.0094484
                 158,             0.09707,              0.3911,                   0,             0.34723,             0.27323,             0.22554,             0.06527,            0.092611,             0.82248,                   0,           0.0094449,           0.0094449,           0.0094449
                 159,            0.095887,             0.45697,                   0,             0.44447,             0.29032,             0.27924,              0.0888,            0.091542,             0.82464,                   0,           0.0094414,           0.0094414,           0.0094414
                 160,            0.093601,             0.43027,                   0,             0.44447,             0.29032,             0.27924,              0.0888,            0.091542,             0.82464,                   0,           0.0094378,           0.0094378,           0.0094378
                 161,            0.096742,             0.47078,                   0,             0.42612,             0.16214,              0.2065,            0.058652,              0.0928,             0.94716,                   0,           0.0094343,           0.0094343,           0.0094343
                 162,            0.092012,             0.39515,                   0,             0.42612,             0.16214,              0.2065,            0.058652,              0.0928,             0.94716,                   0,           0.0094307,           0.0094307,           0.0094307
                 163,            0.095358,             0.39732,                   0,             0.36977,             0.28536,             0.25439,            0.079493,            0.090034,             0.85085,                   0,           0.0094272,           0.0094272,           0.0094272
                 164,            0.091656,             0.47277,                   0,             0.36977,             0.28536,             0.25439,            0.079493,            0.090034,             0.85085,                   0,           0.0094237,           0.0094237,           0.0094237
                 165,            0.091596,             0.45202,                   0,              0.4125,             0.26675,             0.25337,               0.079,            0.089996,             0.83173,                   0,           0.0094201,           0.0094201,           0.0094201
                 166,            0.089091,              0.4439,                   0,              0.4125,             0.26675,             0.25337,               0.079,            0.089996,             0.83173,                   0,           0.0094166,           0.0094166,           0.0094166
                 167,            0.090755,             0.50137,                   0,             0.39313,             0.17742,             0.19613,            0.056016,             0.09227,             0.83377,                   0,           0.0094131,           0.0094131,           0.0094131
                 168,             0.08938,             0.37166,                   0,             0.39313,             0.17742,             0.19613,            0.056016,             0.09227,             0.83377,                   0,           0.0094095,           0.0094095,           0.0094095
                 169,            0.091723,             0.50997,                   0,             0.47605,             0.29653,             0.29643,            0.090788,            0.093349,              0.8271,                   0,            0.009406,            0.009406,            0.009406
